amargor_IBU,alcohol_ABV,color_SRM,densidad_original,lupulo_aroma,levadura,tiempo_fermentacion_dias,carbonatacion_vol,es_premium
31.74542269,3.747606556,14.87183661,1.044901523,medio,BE256,10.72927041,1.985522484,0
48.10690752,6.70459859,7.947214542,1.07026486,medio,BE256,26.61971471,1.860535578,1
39.61668894,5.88688739,7.128324437,1.05731098,medio,BE256,12.35008395,1.73292775,0
57.59093529,4.579238206,9.077901499,1.052243179,bajo,BE256,11.04521001,2.244579294,0
48.15400232,2.395786143,14.71890083,1.054809936,medio,K97,7.491980317,2.309705906,0
34.44078502,5.198948147,10.77643052,1.04881494,bajo,BE256,22.09036092,2.210568892,0
51.57548066,5.436738552,7.875142822,1.053749501,bajo,S04,19.01016292,2.773021739,0
60.52895328,6.881931473,11.9355066,1.069486443,medio,K97,16.86712784,2.768409063,1
57.23148551,6.235782192,5.590831401,1.045245446,alto,US05,15.08968559,2.299559104,0
13.90429332,3.92894632,12.72543804,1.051592605,medio,K97,15.66986036,1.861823666,0
34.56338588,5.680216105,11.63442923,1.045041517,medio,US05,18.76434342,2.229988468,0
56.68545601,6.977131938,8.768766115,1.053316373,bajo,US05,17.36901207,2.220053582,1
69.2125005,6.000697768,6.645656806,1.057940883,bajo,S04,15.43333272,2.202859511,1
57.41240181,5.319651826,6.453276311,1.051486221,bajo,BE256,11.80837878,2.190684329,0
32.98448198,4.495820169,12.13926935,1.044053838,medio,BE256,8.656550383,2.203961131,0
45.19755823,4.918477327,14.91592201,1.055269929,bajo,K97,16.89654624,2.284037515,0
39.29619132,5.347676484,7.450769012,1.052860031,bajo,BE256,19.1630337,2.20933767,0
47.15561241,4.512771436,11.83354681,1.046476358,alto,S04,24.35163589,2.462496753,0
41.15232837,4.324291921,2,1.042312076,bajo,K97,9.20109894,2.508110615,0
20.75511664,5.034152417,7.661529077,1.049275477,medio,K97,16.79567874,2.126806474,0
54.94400229,3.912754061,9.875764269,1.047770281,medio,K97,12.36079502,2.781319598,0
32.59365125,3.914174871,6.361266332,1.050565702,medio,BE256,17.13343484,2.105981309,0
16.65127152,5.679373283,6.253974501,1.048184417,medio,BE256,8.118041795,1.914659816,0
33.57827259,3.851205965,7.328881774,1.039962716,medio,BE256,8.948920897,2.514233421,0
62.51139686,5.666312501,11.16877091,1.048058265,bajo,K97,10.89650071,2.15477756,0
52.75332613,5.462591293,9.250683926,1.048471904,alto,K97,14.31585618,2.496387441,0
34.77021798,3.274193271,2,1.053168305,alto,US05,11.43567493,1.67889942,0
34.76113444,4.322435348,2,1.046509002,bajo,US05,16.63621738,2.817736782,0
35.17547423,6.194109403,7.572539289,1.058393373,bajo,BE256,18.10757847,2.601688022,0
71.15121975,4.018834469,11.83074634,1.040441797,alto,K97,16.39831016,1.949857035,0
45.72903178,4.535595738,2,1.056555837,medio,BE256,20.47515056,1.956366863,0
46.45062471,5.462060893,8.001079295,1.048878405,medio,BE256,15.66330652,2.901679771,0
55.45425181,5.783390509,7.895008574,1.054297924,medio,US05,9.132413159,2.178786029,0
43.77677995,7.201159656,15.55335111,1.063324636,bajo,S04,14.19974601,2.149744545,1
85.30712453,7.283287872,8.459912753,1.055377179,medio,BE256,12.22558295,1.720184372,1
37.05475226,6.422369862,11.53195594,1.04806319,medio,S04,17.641674,2.294766538,0
38.92598111,6.738899664,10.56502856,1.044506898,bajo,S04,20.29493687,2.331684116,0
39.44166645,5.978858051,2,1.057102521,medio,K97,15.82675204,2.614647929,0
50.91444315,5.085318143,13.07282887,1.049432597,alto,K97,8.015364747,1.980276472,0
40.77918829,4.191734278,10.86158602,1.051107792,medio,BE256,10.32715133,1.943913962,0
50.98960116,4.169555593,12.03307456,1.05617376,bajo,US05,19.29097787,2.53528879,0
38.7892513,5.522514105,25.70495083,1.044840224,medio,US05,13.32350926,2.702019021,0
41.17952785,5.418398221,2,1.052977454,alto,BE256,14.31829414,1.928654295,0
57.14491983,6.322255029,16.8987866,1.059759557,alto,BE256,23.09028065,2.724454226,1
53.74491512,5.650450093,8.850209922,1.049339153,medio,US05,16.78529145,2.411262552,0
45.19732714,3.496919698,11.14931562,1.050361395,bajo,S04,15.11519925,2.727541602,0
54.97015165,6.051947618,9.817951019,1.042498891,alto,BE256,13.16532652,2.378933892,0
0,4.001939373,8.303054666,1.046105815,medio,S04,12.74932622,1.643316625,0
71.32562057,4.616028728,7.720668287,1.056755364,bajo,BE256,17.4315953,2.354409785,0
37.90615558,5.250200206,11.31803494,1.054430956,medio,BE256,16.21427812,2.718043146,0
50.24036146,7.409818657,3.931305213,1.057491079,medio,S04,20.3094541,2.131876194,1
24.40141109,8.109918556,13.00231667,1.051215617,medio,S04,18.32844925,2.283610509,0
51.11409114,7.672573701,8.33522238,1.061614873,bajo,US05,23.62773898,2.347159949,1
47.04013845,8.899881935,5.479722644,1.05969498,medio,BE256,16.06352602,1.530145836,1
30.64346559,5.534505648,8.199948568,1.048998237,alto,K97,10.9641172,2.901404273,0
47.53574825,6.025470695,15.02859687,1.057331998,alto,K97,17.84502842,2.129587296,1
37.13976399,4.679332374,7.858659652,1.055730151,alto,BE256,12.91035993,2.55172063,0
43.2614931,6.795211356,11.43381447,1.046113143,alto,BE256,18.93489711,2.373989659,0
53.05101596,5.230070759,7.076174897,1.057793946,bajo,BE256,10.77961928,2.777285717,0
47.43522832,5.497743089,13.0316874,1.042347693,medio,S04,14.75390304,2.521816837,0
42.25628358,5.665924252,12.74203096,1.058148211,medio,K97,11.37324262,2.329522719,0
45.47441504,5.421586611,17.39443533,1.048136622,alto,K97,12.95876383,2.131945472,0
67.51375781,7.331980331,9.297744218,1.056022215,bajo,K97,27.55348797,2.63935521,1
39.13571804,4.382746813,12.67461922,1.040549949,alto,BE256,13.11784708,1.837967609,0
43.0164857,4.441698246,10.39227016,1.047726026,medio,S04,13.22517848,2.593767126,0
55.75981594,3.899845767,15.18348713,1.044800967,alto,BE256,16.16115178,2.070286575,0
56.58288899,5.439501231,7.12467045,1.046961768,bajo,US05,14.89312365,2.775685099,0
57.80545458,5.778936504,12.98002125,1.049313445,bajo,US05,9.2064315,2.448389863,0
49.58095333,5.457772866,9.221210816,1.054788958,alto,K97,18.33679298,2.59323713,0
68.55898003,7.615367484,9.743247292,1.068145832,bajo,BE256,16.7857427,2.424596644,1
64.50147298,4.994403981,10.36700994,1.051538383,alto,US05,14.79357407,1.874286871,0
22.8048191,5.668741656,11.00896159,1.044522403,bajo,US05,13.96327059,2.141781251,0
44.53953198,3.908299124,9.535083828,1.04559623,medio,BE256,11.92897021,2.601716801,0
28.68586225,4.612900298,10.85885273,1.058993625,medio,S04,14.87120936,2.449996745,0
39.0379248,5.695537758,16.31247223,1.046323995,medio,BE256,15.90235374,2.754296972,0
44.93143615,5.849102111,13.94179874,1.058281041,medio,BE256,7.012417235,2.520982369,0
44.82035823,4.706033052,13.47661837,1.048784694,medio,S04,11.84495665,2.109989433,0
46.32881131,4.928400748,8.177841896,1.05001144,bajo,K97,12.98021212,2.161180759,0
64.20566904,3.482126253,6.443036687,1.055351826,bajo,K97,15.02468242,2.430875217,0
46.80301452,4.642970799,13.82120223,1.056359462,medio,K97,18.77324402,1.70578678,0
50.22245838,7.799941902,13.50418717,1.070479218,medio,S04,19.16378946,2.902032566,1
54.46130752,5.575205016,15.8906827,1.048058785,alto,US05,12.00815261,2.532524021,0
57.84205733,5.500665721,7.584077496,1.049720398,medio,S04,11.94986356,2.768110379,0
21.58588277,5.049773687,9.081805379,1.051689788,medio,BE256,10.79388964,1.925818818,0
48.96100105,5.007063159,3.44206335,1.054456518,medio,S04,12.61125402,2.773369548,0
50.51759113,4.339678861,8.430115576,1.050021149,bajo,US05,17.08320888,3.069449673,0
35.53654745,5.69882842,13.98628204,1.053094431,medio,US05,9.784658019,2.003736493,0
60.6356022,5.420972944,8.134018483,1.058191799,alto,BE256,15.71125758,2.631420538,0
67.94706267,7.070052163,12.56191918,1.064397085,alto,K97,18.00647613,2.400332983,1
41.8836468,4.473965157,9.237987576,1.051558264,medio,US05,11.75464801,1.936669846,0
37.40392264,2.84665708,11.29622811,1.042405446,medio,US05,12.6820428,2.547865192,0
40.23368571,6.097152712,5.409234441,1.036846349,alto,US05,20.69943869,2.650080961,0
23.5558737,4.521162544,10.3408378,1.051941879,medio,BE256,12.90079078,2.219662034,0
18.39923676,4.137224236,2,1.049525879,bajo,US05,5.195026106,2.749774956,0
63.91757595,5.693478912,9.252415367,1.047426087,bajo,K97,6.004444373,1.899970978,0
27.29557978,4.60798736,3.478107025,1.051217651,medio,BE256,14.13611835,1.951573156,0
25.12911476,6.059936384,14.82397807,1.049697981,alto,K97,16.45508342,2.440979219,0
7.699148296,5.61700595,13.10962941,1.055638901,medio,US05,15.50182343,2.407615583,0
30.41557378,5.683569323,11.86668393,1.050430554,bajo,US05,14.67028042,2.185027953,0
20.1536531,3.634044289,16.08402491,1.046265384,bajo,K97,18.64903839,2.642878331,0
64.6302274,6.211943985,6.204333917,1.054950831,alto,BE256,11.84163512,2.559268294,0
55.14725634,5.261250531,16.98945279,1.048914345,alto,BE256,17.57964222,2.657441721,0
29.67774482,4.630722861,13.72876626,1.052632683,medio,K97,7.47194046,2.363059069,0
73.78653708,5.143388467,9.053778851,1.047612946,medio,US05,10.38020867,2.58077408,0
65.91678214,8.612278258,14.54248059,1.05943436,bajo,S04,15.33831081,2.266304909,1
